Name,Stars,Language,Created 
chemistry-dotcmis,3,C#,2012-01-19T08:00:12
chemistry-objectivecmis,4,Objective-C,2013-10-24T07:00:12
chemistry-opencmis,21,Java,2012-01-19T08:00:11
chemistry-phpclient,4,PHP,2012-01-24T08:00:11
chukwa,35,Java,2012-04-07T07:00:24
clerezza,26,Java,2011-02-12T08:00:07
clerezza-rdf-core,0,Java,2015-03-17T07:00:05
click,7,Java,2013-11-08T08:00:11
climate,19,Python,2014-03-08T08:00:06
cloudstack,359,Java,2013-04-29T22:27:12
cloudstack-cloudmonkey,11,Python,2013-10-17T07:00:46
cloudstack-docs,11,HTML,2013-10-17T07:00:47
cloudstack-docs-admin,11,HTML,2014-02-06T08:00:08
cloudstack-docs-install,6,HTML,2014-02-06T08:00:09
cloudstack-docs-rn,2,HTML,2014-02-06T08:00:09
cloudstack-ec2stack,7,Python,2015-05-06T07:00:05
cloudstack-gcestack,3,Python,2015-05-06T07:00:05
cloudstack-www,6,HTML,2015-05-12T07:00:05
cocoon,8,Java,2009-05-21T02:12:25
commons-attributes,5,Java,2013-07-13T07:00:12
commons-bcel,17,Java,2013-07-13T07:00:12
commons-beanutils,43,Java,2013-06-12T07:00:16
commons-betwixt,0,None,2014-03-17T07:00:06
commons-bsf,5,Java,2013-07-12T07:00:16
commons-chain,11,Java,2013-07-12T07:00:17
commons-cli,48,Java,2009-05-28T08:00:15
commons-codec,59,Java,2009-05-21T01:20:25
commons-collections,143,Java,2009-05-21T01:12:20
commons-compress,41,Java,2011-10-15T07:00:08
commons-configuration,29,Java,2013-02-26T08:00:12
commons-crypto,2,Java,2016-04-13T07:00:07
commons-csv,51,Java,2013-06-12T07:00:17
commons-daemon,14,C,2013-07-12T07:00:18
commons-dbcp,56,Java,2013-07-10T07:00:11
commons-dbutils,60,Java,2013-07-12T07:00:18
commons-digester,8,Java,2013-07-12T07:00:18
commons-discovery,6,Java,2013-07-11T07:00:15
commons-el,7,Java,2013-07-11T07:00:16
commons-email,28,Java,2013-07-11T07:00:16
commons-exec,23,Java,2011-10-15T07:00:08
commons-fileupload,45,Java,2011-10-15T07:00:07
commons-functor,11,Java,2013-07-11T07:00:16
commons-imaging,56,Java,2013-07-11T07:00:17
commons-io,210,Java,2009-05-21T01:38:37
commons-jci,5,Java,2013-07-11T07:00:17
commons-jcs,15,Java,2013-07-10T07:00:13
commons-jelly,2,Java,2013-07-10T07:00:13
commons-jexl,10,Java,2013-07-10T07:00:14
commons-jxpath,7,Java,2013-07-10T07:00:14
commons-lang,513,Java,2009-05-21T01:24:46
commons-launcher,4,Java,2013-07-10T07:00:14
commons-logging,37,Java,2009-05-21T08:42:09
commons-math,69,Java,2014-10-08T07:00:06
commons-modeler,2,Java,2013-07-10T07:00:14
commons-net,25,Java,2012-12-11T08:00:16
commons-ognl,12,Java,2013-07-10T07:00:15
commons-pool,66,Java,2013-07-08T07:00:28
commons-primitives,7,Java,2013-07-10T07:00:15
commons-proxy,9,Java,2013-07-10T07:00:15
commons-rdf,0,None,2014-07-24T07:00:07
commons-scxml,5,Java,2015-07-10T07:00:05
commons-text,10,Java,2014-11-10T08:00:07
commons-transaction,9,Java,2009-12-11T09:00:14
commons-validator,42,Java,2010-09-26T07:00:19
commons-vfs,20,Java,2013-07-13T07:00:13
commons-weaver,5,Java,2013-10-25T07:00:33
continuum,4,Java,2009-05-21T02:05:27
cordova-amazon-fireos,16,Java,2014-01-06T17:23:03
cordova-android,1447,Java,2012-11-28T08:00:22
cordova-app-harness,41,JavaScript,2013-04-08T07:20:19
cordova-app-hello-world,132,CSS,2012-11-28T08:00:29
cordova-bada,3,C++,2012-11-28T08:00:23
cordova-bada-wac,1,JavaScript,2012-11-28T08:00:20
cordova-blackberry,24,JavaScript,2012-12-12T08:00:27
cordova-browser,60,JavaScript,2014-01-06T17:23:03
cordova-cli,448,JavaScript,2012-12-12T08:00:28
cordova-coho,20,JavaScript,2012-11-28T08:00:17
cordova-docs,148,JavaScript,2012-11-28T08:00:26
cordova-firefoxos,37,JavaScript,2013-04-08T07:20:20
cordova-ios,927,Objective-C,2012-11-28T08:00:23
cordova-js,357,JavaScript,2012-11-28T08:00:22
cordova-labs,40,None,2012-11-28T08:00:28
cordova-lib,124,JavaScript,2014-05-07T07:00:06
cordova-medic,16,JavaScript,2013-10-17T07:00:47
cordova-mobile-spec,52,JavaScript,2012-11-28T08:00:19
cordova-osx,185,Objective-C,2012-12-12T08:00:28
cordova-paramedic,4,JavaScript,2016-03-04T08:00:05
cordova-plugin-battery-status,47,JavaScript,2013-06-22T07:00:13
cordova-plugin-camera,353,JavaScript,2013-06-22T07:00:13
cordova-plugin-compat,0,Java,2016-04-05T07:00:06
cordova-plugin-console,86,JavaScript,2013-06-22T07:00:14
cordova-plugin-contacts,95,JavaScript,2013-06-22T07:00:14
cordova-plugin-device,131,JavaScript,2013-06-22T07:00:15
cordova-plugin-device-motion,36,JavaScript,2013-06-22T07:00:15
cordova-plugin-device-orientation,29,JavaScript,2013-06-22T07:00:15
cordova-plugin-dialogs,138,JavaScript,2013-06-22T07:00:15
cordova-plugin-file,282,JavaScript,2013-06-22T07:00:16
cordova-plugin-file-transfer,241,JavaScript,2013-06-22T07:00:16
cordova-plugin-geolocation,252,JavaScript,2013-06-22T07:00:16
cordova-plugin-globalization,64,JavaScript,2013-06-22T07:00:16
cordova-plugin-inappbrowser,394,Java,2013-06-22T07:00:17
cordova-plugin-legacy-whitelist,3,Objective-C,2015-03-10T19:06:29
cordova-plugin-media,150,JavaScript,2013-06-22T07:00:17
cordova-plugin-media-capture,104,JavaScript,2013-06-22T07:00:17
cordova-plugin-network-information,170,Objective-C,2013-06-22T07:00:18
cordova-plugin-splashscreen,259,Objective-C,2013-06-22T07:00:18
cordova-plugin-statusbar,245,Objective-C,2014-03-15T07:00:07
cordova-plugin-test-framework,37,HTML,2014-07-09T07:00:07
cordova-plugin-vibration,58,JavaScript,2013-06-22T07:00:18
cordova-plugin-whitelist,257,Java,2015-03-10T19:06:29
cordova-plugin-wkwebview-engine,96,Objective-C,2015-09-09T07:00:05
cordova-plugins,182,Objective-C,2013-11-05T08:00:12
cordova-plugman,250,JavaScript,2013-04-08T07:20:20
cordova-qt,47,C++,2012-11-28T08:00:20
cordova-registry,3,JavaScript,2013-10-24T07:00:13
cordova-registry-web,7,JavaScript,2013-10-24T07:00:12
cordova-tizen,29,JavaScript,2012-11-28T08:00:22
cordova-ubuntu,20,C++,2013-11-27T08:00:14
cordova-webos,17,JavaScript,2012-11-28T08:00:23
cordova-weinre,406,JavaScript,2012-11-28T08:00:19
cordova-windows,125,JavaScript,2012-11-28T08:00:28
cordova-wp7,8,C#,2012-11-28T08:00:27
cordova-wp8,86,C#,2012-11-28T08:00:21
couchdb,2517,JavaScript,2009-05-21T02:03:38
couchdb-admin,3,Shell,2013-10-29T07:00:16
couchdb-b64url,1,C,2014-08-01T07:00:07
couchdb-bear,1,Erlang,2014-02-13T08:00:07
couchdb-cassim,1,Erlang,2014-08-01T07:00:07
couchdb-chttpd,9,Erlang,2014-01-17T08:00:07
couchdb-ci,2,Shell,2015-07-04T07:00:05
couchdb-config,8,Erlang,2014-01-17T08:00:07
couchdb-couch,29,Erlang,2014-01-17T08:00:08
couchdb-couch-collate,4,C,2014-01-17T08:00:07
couchdb-couch-dbupdates,4,Erlang,2014-01-17T08:00:07
couchdb-couch-epi,2,Erlang,2015-06-23T07:00:05
couchdb-couch-event,1,Erlang,2014-08-01T07:00:07
couchdb-couch-httpd,5,Erlang,2014-01-17T08:00:07
couchdb-couch-index,4,Erlang,2014-01-17T08:00:07
couchdb-couch-log,1,Erlang,2014-02-13T08:00:08
couchdb-couch-log-lager,1,Erlang,2015-09-19T07:00:05
couchdb-couch-mrview,4,Erlang,2014-01-17T08:00:07
couchdb-couch-plugins,9,Erlang,2014-01-17T08:00:07
couchdb-couch-replicator,7,Erlang,2014-01-17T08:00:08
couchdb-couch-stats,1,Erlang,2014-02-13T08:00:08
couchdb-ddoc-cache,4,Erlang,2014-01-17T08:00:08
couchdb-docker,6,Shell,2015-07-27T07:00:05
couchdb-documentation,16,Python,2014-01-17T08:00:08
couchdb-erlang-tests,1,Erlang,2015-04-30T07:00:05
couchdb-ets-lru,4,Erlang,2014-01-17T08:00:08
couchdb-examples,3,Erlang,2014-02-13T08:00:08
couchdb-fabric,5,Erlang,2014-01-17T08:00:08
couchdb-fauxton,83,JavaScript,2014-01-17T08:00:08
couchdb-folsom,1,Erlang,2014-02-13T08:00:09
couchdb-futon,1,JavaScript,2014-02-13T08:00:09
couchdb-global-changes,1,Erlang,2014-08-01T07:00:07
couchdb-goldrush,1,Erlang,2014-02-13T08:00:09
couchdb-ibrowse,4,Erlang,2014-01-17T08:00:08
couchdb-ioq,2,Erlang,2014-07-15T07:00:07
couchdb-javascript-tests,1,None,2015-04-30T07:00:05
couchdb-jiffy,6,Erlang,2014-01-17T08:00:09
couchdb-jquery-couch,3,JavaScript,2014-02-13T08:00:10
couchdb-khash,1,C,2014-08-01T07:00:08
couchdb-lager,2,Erlang,2014-02-13T08:00:10
couchdb-mango,21,Erlang,2015-02-04T08:00:05
couchdb-meck,1,Erlang,2014-02-13T08:00:10
couchdb-mem3,6,Erlang,2014-01-17T08:00:09
couchdb-mochiweb,4,Erlang,2014-01-17T08:00:09
couchdb-nano,12,JavaScript,2015-07-14T07:00:05
couchdb-nmo,9,JavaScript,2015-07-14T07:00:06
couchdb-oauth,6,Erlang,2014-01-17T08:00:09
couchdb-peruser,2,Erlang,2015-08-05T07:00:05
couchdb-query-server-node,2,JavaScript,2014-02-13T08:00:11
couchdb-query-server-spidermonkey,1,None,2014-02-13T08:00:11
couchdb-rebar,6,Erlang,2014-01-17T08:00:09
couchdb-rexi,6,Erlang,2014-01-17T08:00:09
couchdb-setup,4,Erlang,2014-11-12T08:00:06
couchdb-snappy,5,C++,2014-01-17T08:00:09
couchdb-twig,4,Erlang,2014-01-17T08:00:09
couchdb-www,18,HTML,2015-04-30T07:00:05
creadur-rat,2,Java,2012-10-11T07:00:29
creadur-tentacles,1,Java,2013-04-29T22:27:13
creadur-whisker,1,Java,2013-04-29T22:27:14
crunch,57,Java,2012-10-19T07:00:12
ctakes,5,None,2014-11-21T08:00:09
curator,347,Java,2014-03-03T08:00:07
cxf,144,Java,2014-02-19T08:00:08
cxf-build-utils,2,Java,2014-03-08T08:00:07
cxf-dosgi,5,Java,2014-03-08T08:00:07
cxf-fediz,10,Java,2014-03-08T08:00:07
cxf-xjc-utils,3,Java,2014-03-08T08:00:08
ddlutils,5,Java,2014-09-10T07:00:06
deltacloud,79,Ruby,2010-07-29T23:31:00
deltaspike,55,Java,2013-06-04T07:00:12
derby,70,Java,2011-06-19T07:00:34
devicemap-browsermap,4,JavaScript,2013-07-06T07:00:14
directmemory,43,Java,2011-10-15T07:00:08
directmemory-lightning,0,Java,2012-10-16T07:00:15
directory-clients,1,Java,2009-05-21T01:03:34
directory-daemon,2,Java,2009-05-21T03:15:18
directory-fortress-commander,2,Java,2015-10-02T07:00:05
directory-fortress-core,3,Java,2015-10-02T07:00:05
directory-fortress-enmasse,2,Java,2015-10-02T07:00:06
directory-fortress-realm,2,Java,2015-10-02T07:00:06
directory-installers,1,Java,2009-05-21T02:08:37
directory-kerby,15,Java,2015-03-17T07:00:05
directory-project,5,Shell,2009-05-21T01:46:10
directory-samples,1,Java,2009-05-21T00:57:36
directory-server,26,Java,2009-05-21T02:25:07
directory-shared,8,Java,2009-05-21T00:58:22
directory-skins,1,None,2009-05-21T01:20:37
directory-studio,9,Java,2009-05-20T01:52:19
directory-studio-plugin,2,Java,2009-05-21T01:10:35
drill,599,Java,2012-09-05T07:00:26
drill-site,1,HTML,2015-05-05T07:00:05
empire-db,15,Java,2011-07-14T07:03:04
esme,13,Scala,2010-05-26T23:38:08
etch,12,C,2009-03-27T15:41:55
falcon,49,Java,2013-07-20T07:00:14
felix,138,Java,2009-05-20T02:00:07
flex-asjs,35,ActionScript,2013-05-16T07:00:17
flex-blazeds,16,Java,2014-05-12T07:00:06
flex-examples,6,ActionScript,2013-06-26T07:00:34
flex-external,0,JavaScript,2013-05-16T07:00:18
flex-falcon,45,Java,2012-08-30T07:00:20
flex-flexunit,11,ActionScript,2013-05-16T07:00:18
flex-sdk,264,ActionScript,2012-08-30T07:00:23
flex-site,3,HTML,2012-02-11T08:00:10
flex-tlf,21,ActionScript,2012-08-30T07:00:21
flex-utilities,48,HTML,2012-08-30T07:00:22
flex-whiteboard,12,ActionScript,2012-02-11T08:00:12
flink,1245,Java,2014-06-07T07:00:10
flink-web,10,HTML,2015-05-17T07:00:05
flood,5,C,2010-05-26T23:38:07
flume,611,Java,2011-08-12T18:20:14
fop,46,Java,2009-05-21T00:26:43
fop-pdf-images,1,Java,2014-11-08T08:00:07
forrest,4,Java,2010-10-16T07:00:22
ftpserver,21,Java,2011-04-21T07:00:07
geronimo,21,Java,2009-07-01T08:09:43
geronimo-devtools,4,Java,2011-01-28T08:00:12
geronimo-genesis,2,Java,2009-07-01T08:07:45
geronimo-gshell,2,Java,2009-07-01T08:14:25
geronimo-jaspi,4,Java,2011-01-28T08:00:12
geronimo-javamail,5,Java,2009-07-01T08:15:28
geronimo-schema-14,2,None,2011-01-28T08:00:13
geronimo-schema-5,2,None,2011-01-28T08:00:12
geronimo-schema-6,2,None,2011-01-28T08:00:12
geronimo-specs,7,Java,2009-07-01T08:00:27
geronimo-txmanager,2,Java,2011-01-28T08:00:11
geronimo-xbean,4,Java,2009-07-01T08:09:07
geronimo-yoko,1,Java,2009-07-01T08:14:50
giraph,342,Java,2011-08-28T07:00:33
gora,40,Java,2014-05-19T07:00:07
groovy,1084,Java,2015-04-16T07:00:05
hadoop,1757,Java,2014-08-28T07:00:08
hadoop-common,57,Java,2014-10-21T07:00:09
hadoop-hdfs,33,Java,2014-10-21T07:00:09
hadoop-mapreduce,21,Java,2014-10-21T07:00:09
hama,92,Java,2010-08-25T07:00:06
harmony,19,Java,2010-05-26T23:38:08
harmony-classlib,3,Java,2009-05-21T01:36:05
harmony-drlvm,1,C++,2009-05-20T02:01:55
harmony-jdktools,3,Java,2009-05-21T01:20:48
hbase,664,Java,2014-05-23T07:00:07
hcatalog,43,Java,2011-04-14T07:00:07
helix,64,Java,2014-01-13T08:00:06
hive,868,Java,2009-05-21T02:31:01
httpasyncclient,38,Java,2011-10-15T07:00:08
httpclient,328,Java,2009-05-21T01:43:06
httpcore,88,Java,2009-05-21T01:41:50
httpd,1186,C,2009-05-20T02:02:59
httpd-docs-build,0,Perl,2009-12-11T09:00:14
iampoc,2,XSLT,2015-12-19T08:00:05
ignite,367,Java,2015-02-19T08:00:05
incubator-airflow,0,None,2016-04-11T07:00:06
incubator-allura,5,Python,2012-07-30T07:01:03
incubator-ambari,4,Java,2013-09-09T07:00:15
incubator-apex-core,97,Java,2015-08-25T07:00:05
incubator-apex-malhar,31,Java,2015-08-25T07:00:05
incubator-apex-site,1,CSS,2015-09-09T07:00:05
incubator-argus,0,None,2014-11-22T08:00:09
incubator-asterixdb,35,Java,2015-03-10T19:06:29
incubator-asterixdb-hyracks,11,Java,2015-03-27T07:00:06
incubator-atlas,26,Java,2015-05-07T07:00:05
incubator-batchee,8,Java,2013-11-05T08:00:13
incubator-beam,140,Java,2016-02-02T08:00:06
incubator-beam-site,1,HTML,2016-02-26T08:00:05
incubator-blur,28,Java,2014-05-30T07:00:06
incubator-brooklyn,144,Java,2014-05-02T07:00:07
incubator-brooklyn-site,1,None,2014-06-24T07:00:07
incubator-celix,1,C,2013-12-11T08:00:13
